Size (360, 360, 360); Boundaries 20; Domains (1, 1, 1); Time 5.64 s; Iterations 113; Residual norm 8.993e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 2, 1); Time 9.07 s; Iterations 220; Residual norm 9.538e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 3, 1); Time 9.12 s; Iterations 222; Residual norm 9.584e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 4, 1); Time 9.13 s; Iterations 220; Residual norm 9.695e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 5, 1); Time 9.66 s; Iterations 222; Residual norm 9.588e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 6, 1); Time 10.04 s; Iterations 220; Residual norm 9.692e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 7, 1); Time 11.42 s; Iterations 222; Residual norm 9.590e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 8, 1); Time 10.95 s; Iterations 220; Residual norm 9.724e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 9, 1); Time 11.49 s; Iterations 222; Residual norm 9.599e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 10, 1); Time 11.79 s; Iterations 220; Residual norm 9.714e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 11, 1); Time 12.36 s; Iterations 222; Residual norm 9.602e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 12, 1); Time 13.17 s; Iterations 222; Residual norm 9.552e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 13, 1); Time 13.33 s; Iterations 222; Residual norm 9.620e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 14, 1); Time 13.71 s; Iterations 222; Residual norm 9.602e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 15, 1); Time 14.13 s; Iterations 222; Residual norm 9.597e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 16, 1); Time 14.15 s; Iterations 220; Residual norm 9.723e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 17, 1); Time 14.79 s; Iterations 222; Residual norm 9.616e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 18, 1); Time 15.26 s; Iterations 222; Residual norm 9.554e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 19, 1); Time 15.65 s; Iterations 222; Residual norm 9.686e-07 
Size (360, 360, 360); Boundaries 20; Domains (1, 20, 1); Time 16.11 s; Iterations 220; Residual norm 9.769e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 1, 1); Time 7.75 s; Iterations 220; Residual norm 9.528e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 2, 1); Time 13.22 s; Iterations 330; Residual norm 9.920e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 3, 1); Time 15.81 s; Iterations 332; Residual norm 9.663e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 4, 1); Time 15.93 s; Iterations 330; Residual norm 9.962e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 5, 1); Time 17.04 s; Iterations 332; Residual norm 9.664e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 6, 1); Time 18.36 s; Iterations 330; Residual norm 9.964e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 7, 1); Time 21.03 s; Iterations 332; Residual norm 9.665e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 8, 1); Time 20.88 s; Iterations 330; Residual norm 9.971e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 9, 1); Time 22.19 s; Iterations 332; Residual norm 9.670e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 10, 1); Time 23.16 s; Iterations 330; Residual norm 9.968e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 11, 1); Time 24.57 s; Iterations 332; Residual norm 9.672e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 12, 1); Time 26.38 s; Iterations 332; Residual norm 9.657e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 13, 1); Time 27.11 s; Iterations 332; Residual norm 9.683e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 14, 1); Time 28.41 s; Iterations 332; Residual norm 9.673e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 15, 1); Time 29.58 s; Iterations 332; Residual norm 9.672e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 16, 1); Time 30.73 s; Iterations 330; Residual norm 9.969e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 17, 1); Time 31.73 s; Iterations 332; Residual norm 9.679e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 18, 1); Time 33.32 s; Iterations 332; Residual norm 9.656e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 19, 1); Time 34.73 s; Iterations 332; Residual norm 9.725e-07 
Size (360, 360, 360); Boundaries 20; Domains (2, 20, 1); Time 35.51 s; Iterations 330; Residual norm 9.995e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 1, 1); Time 8.39 s; Iterations 222; Residual norm 9.584e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 2, 1); Time 15.17 s; Iterations 332; Residual norm 9.664e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 3, 1); Time 17.72 s; Iterations 333; Residual norm 9.787e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 4, 1); Time 18.88 s; Iterations 332; Residual norm 9.708e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 5, 1); Time 20.54 s; Iterations 333; Residual norm 9.788e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 6, 1); Time 22.52 s; Iterations 332; Residual norm 9.709e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 7, 1); Time 25.74 s; Iterations 333; Residual norm 9.789e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 8, 1); Time 26.22 s; Iterations 332; Residual norm 9.717e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 9, 1); Time 28.03 s; Iterations 333; Residual norm 9.794e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 10, 1); Time 29.71 s; Iterations 332; Residual norm 9.714e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 11, 1); Time 31.56 s; Iterations 333; Residual norm 9.796e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 12, 1); Time 33.91 s; Iterations 333; Residual norm 9.780e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 13, 1); Time 35.46 s; Iterations 333; Residual norm 9.807e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 14, 1); Time 37.06 s; Iterations 333; Residual norm 9.796e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 15, 1); Time 38.95 s; Iterations 333; Residual norm 9.795e-07 
